Flows:0-0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 2 1 0 0 1 3 0 0 2 0 1 2 4 6 3 1 1 1 3 4 2 1 1 0 2 3 2 0 0 0 0 1 2 2 2 1 2 2 1 3 0 0 0 0 7 5 7 1 4 2 0 0 1 0 0 2 1 3 1 0 1 0 1 1 4 0 0 0 2 1 1 1 
1 1 2 3 0 1 3 5 0 1 1 1 2 1 8 8 4 2 3 1 5 6 5 1 1 0 2 3 1 0 1 0 0 2 4 0 1 1 1 2 1 4 0 1 1 1 6 3 5 2 4 3 0 0 2 0 0 3 2 3 1 0 2 0 1 1 3 0 0 0 1 0 1 0 
0 1 2 2 0 1 3 5 1 1 3 0 2 2 10 4 5 1 2 3 4 6 3 2 1 0 2 3 3 0 1 0 0 3 3 0 1 2 1 0 0 3 0 1 1 0 3 3 3 2 4 2 0 0 1 1 0 4 1 1 1 0 0 0 2 0 3 0 0 0 1 1 1 0 
0 1 0 1 0 0 2 2 0 0 1 0 1 1 3 3 1 1 1 0 1 3 2 1 1 0 1 1 1 0 0 0 0 0 2 0 0 1 1 1 0 2 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 
0 0 1 1 0 0 0 2 0 0 1 0 0 1 2 1 1 1 1 0 1 2 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 2 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 
0 1 2 2 0 1 3 6 1 0 1 0 1 2 8 4 4 1 1 1 3 4 2 1 1 0 1 1 1 0 1 0 0 1 3 0 1 0 1 0 0 1 1 0 0 0 2 2 3 1 4 1 0 1 1 1 0 2 2 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 
0 2 2 6 1 2 5 29 3 4 7 1 5 7 11 8 5 3 2 3 6 9 5 2 4 0 3 5 6 1 1 0 0 5 8 2 3 3 4 2 1 9 0 1 1 0 7 10 9 5 7 4 0 3 5 3 1 8 4 7 3 2 4 0 3 2 6 1 0 1 2 2 2 2 
0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 3 0 4 4 1 2 0 3 1 0 0 0 0 0 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 2 0 0 1 1 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1 
0 0 1 0 0 0 1 3 1 7 17 1 2 2 2 3 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 5 8 2 0 4 6 6 1 2 1 0 0 0 1 0 0 0 0 0 0 1 
0 0 0 0 0 0 0 1 0 3 1 1 0 0 1 2 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 2 1 0 2 1 3 3 3 1 1 0 0 0 1 2 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 1 1 7 3 0 2 0 3 4 7 3 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 1 3 5 1 2 4 13 3 1 2 1 3 6 15 9 4 1 3 2 5 10 6 2 2 0 2 3 2 0 0 0 0 2 2 0 0 2 1 0 0 3 0 0 0 1 3 3 4 2 4 2 0 1 2 0 0 4 1 2 1 1 1 0 2 0 3 0 0 1 0 1 1 0 
0 4 3 3 1 3 4 9 1 3 5 2 4 3 16 12 12 3 5 4 14 16 13 6 6 1 5 6 4 1 1 0 0 4 4 0 2 4 8 2 1 7 1 2 1 1 8 9 7 4 5 5 1 1 3 0 0 5 3 5 2 2 3 0 2 1 5 1 0 1 2 1 2 4 
1 3 4 3 2 2 5 8 1 1 4 1 2 5 11 16 5 2 7 6 9 11 6 2 3 0 3 5 5 1 2 1 1 6 8 1 3 4 4 4 1 11 2 1 1 3 11 8 10 4 9 8 1 2 4 1 0 7 4 5 4 3 2 0 4 3 7 1 1 1 2 2 1 3 
1 0 1 1 0 1 0 2 0 0 1 0 1 1 2 3 4 1 3 1 1 3 1 1 1 0 1 3 2 1 1 0 0 5 8 0 2 1 2 0 0 6 0 0 0 1 6 3 4 1 4 2 0 0 0 0 0 2 0 2 0 0 0 0 1 0 2 0 0 0 1 0 0 1 
0 0 2 2 1 0 2 6 0 1 2 0 0 2 6 6 5 5 6 2 5 6 2 1 1 0 4 4 6 2 0 0 1 8 6 2 2 3 2 1 0 5 0 0 0 1 5 3 7 2 6 3 0 0 2 0 0 2 1 3 1 1 1 0 1 2 4 0 0 1 0 1 1 0 
