Flows:0-0
2 2 1 1 0 1 1 2 0 0 0 0 1 1 4 3 5 1 3 1 4 3 2 1 0 1 0 2 2 2 0 0 0 0 0 3 5 0 0 2 2 0 0 2 0 0 0 0 2 2 1 1 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
1 1 1 0 0 0 1 1 0 0 2 0 1 1 3 2 2 1 2 1 3 4 1 1 0 1 0 1 3 2 1 0 1 0 0 2 2 1 1 2 2 2 0 4 0 0 0 1 5 6 5 2 4 1 0 0 2 0 0 2 1 1 0 1 1 1 0 1 1 3 0 0 0 0 1 1 1 0 
2 2 1 1 0 2 2 3 0 1 3 1 2 2 7 3 3 2 3 1 4 7 4 3 1 3 0 3 5 3 0 0 1 0 0 2 3 1 2 3 4 1 1 6 0 1 1 1 5 4 6 2 5 4 0 1 3 0 0 2 1 2 0 1 1 2 0 1 1 3 0 0 0 0 2 2 1 1 
1 0 0 1 0 1 2 2 0 0 1 1 1 1 6 1 2 1 2 1 2 3 2 1 0 1 0 1 2 2 0 0 0 0 0 2 2 0 0 0 1 1 0 2 0 0 0 0 2 2 4 1 3 1 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 2 0 0 1 0 0 1 2 1 1 0 0 0 1 2 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 2 0 0 0 1 2 1 1 1 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 1 0 0 1 0 1 1 2 1 1 0 0 0 1 2 1 0 0 0 0 0 1 1 0 0 0 0 0 1 2 0 0 0 1 0 0 2 0 0 0 0 1 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 1 3 0 0 2 0 1 3 4 1 1 0 1 0 1 2 1 0 0 1 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 2 0 0 0 0 2 2 2 1 2 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
1 0 1 3 0 1 2 16 2 3 5 1 3 4 9 2 2 1 2 2 3 4 2 1 0 2 0 1 4 2 1 0 1 0 0 4 4 1 1 2 1 1 0 3 0 0 0 1 5 5 7 2 5 2 0 1 4 1 0 5 2 4 0 1 2 1 0 2 2 3 0 0 0 1 2 1 1 1 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 1 4 4 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 1 0 0 2 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 0 3 12 1 1 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 7 1 0 5 3 4 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 0 0 1 0 3 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 3 2 0 0 0 2 4 4 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 0 1 2 0 1 3 7 1 0 3 0 3 5 10 3 3 1 2 1 3 6 3 1 0 2 0 1 2 3 0 0 0 0 0 2 3 0 1 0 1 0 0 2 0 0 0 0 2 2 3 1 1 1 0 0 2 0 0 2 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 
4 4 2 1 0 1 2 3 0 1 3 1 2 2 7 4 6 1 4 2 7 10 7 4 0 2 0 2 3 3 0 0 0 0 0 3 3 0 2 2 3 1 1 4 0 0 0 0 4 4 4 2 3 3 0 1 2 0 0 3 2 2 0 1 1 1 0 1 1 4 0 0 0 0 1 1 1 1 
4 1 3 2 0 1 2 4 1 1 3 1 3 3 8 7 4 3 5 4 5 9 5 2 1 3 0 2 7 5 2 0 1 1 0 6 6 2 3 3 4 2 1 7 0 1 0 1 8 7 7 3 7 4 1 1 2 1 0 3 2 4 0 2 2 2 0 2 2 5 1 0 0 0 1 2 2 1 
