Flows:0-0
2 5 2 3 1 2 4 0 0 1 0 1 1 6 8 5 1 3 2 7 6 3 2 0 1 0 0 2 2 2 1 0 0 0 0 4 5 0 1 2 2 1 0 4 0 1 0 1 4 4 4 1 5 1 0 0 1 0 0 3 1 2 1 1 1 0 2 2 4 0 0 1 0 1 0 1 
3 0 1 1 1 1 2 0 0 2 1 1 2 4 6 3 1 2 1 5 5 3 1 0 2 0 0 1 2 4 1 0 0 0 0 3 3 2 2 2 2 2 0 5 0 1 0 2 8 6 5 2 5 3 0 1 2 0 0 3 1 2 1 2 0 0 2 1 3 0 0 1 2 2 2 1 
3 2 2 1 1 3 4 0 1 3 1 2 3 9 8 7 1 3 2 7 10 6 4 1 3 1 0 3 4 3 0 0 0 0 0 3 3 0 2 2 3 2 1 4 0 1 1 1 6 4 5 3 5 3 1 1 2 0 0 3 2 2 1 2 1 0 1 0 3 0 0 0 1 1 2 1 
3 1 1 2 1 3 4 0 1 2 0 2 1 9 3 5 3 3 2 4 5 4 1 0 1 0 0 1 4 2 0 0 0 0 1 3 5 0 0 1 1 0 0 4 0 0 0 1 4 5 6 1 4 3 0 0 2 1 0 3 2 3 1 2 1 0 1 1 3 0 0 0 1 0 1 1 
0 0 1 1 0 1 1 0 0 1 0 1 1 3 2 1 0 0 0 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 1 2 1 2 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
1 0 3 1 1 3 6 0 1 2 0 2 2 7 7 2 1 1 1 3 4 2 1 0 1 0 0 1 1 1 0 0 0 0 0 2 2 0 0 1 1 1 0 2 0 0 0 0 3 2 3 1 2 1 0 0 0 0 0 2 1 2 0 1 1 0 0 0 2 0 0 0 0 0 0 0 
3 2 3 5 2 5 22 3 4 8 1 4 6 14 9 6 2 3 2 5 8 4 2 0 3 0 0 2 5 3 2 0 2 1 1 4 7 1 2 4 4 2 0 10 1 1 0 2 8 9 10 3 7 4 0 1 5 2 0 10 5 7 3 4 4 0 4 2 7 1 1 0 3 1 2 3 
0 0 0 0 0 0 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 1 1 3 3 1 2 0 1 2 1 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 1 1 0 0 1 1 0 2 1 4 1 1 1 0 1 0 1 0 0 0 0 0 0 1 
0 0 1 0 0 1 2 0 6 21 2 2 1 4 1 1 0 0 0 0 1 1 0 0 3 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 5 8 3 0 6 5 6 2 2 2 0 1 0 1 0 0 1 0 0 1 2 
0 0 0 0 0 0 0 0 4 2 2 1 0 1 2 0 0 0 0 0 1 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 1 1 0 1 1 1 3 2 2 3 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 2 6 2 0 2 0 4 3 5 2 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 1 4 6 2 6 13 4 1 4 1 5 7 13 12 6 1 2 2 5 9 4 2 0 2 0 0 2 3 2 0 0 1 0 0 3 3 0 1 1 2 2 0 2 0 0 0 1 4 3 5 2 4 2 0 1 2 1 0 4 2 3 1 2 1 0 2 1 2 0 0 1 0 1 0 1 
