Flows:0-0
2 3 2 3 1 2 5 0 1 1 0 1 1 7 9 6 1 4 2 5 11 3 3 2 0 2 2 1 1 0 1 0 0 3 5 0 2 4 2 1 0 5 0 0 0 1 5 3 3 1 5 2 0 0 0 0 4 2 1 1 1 1 0 2 0 3 0 0 1 1 1 1 0 
2 1 2 1 0 1 4 0 0 2 0 1 1 4 6 4 1 3 1 4 4 3 2 1 0 1 4 3 1 0 1 1 0 2 3 1 1 2 3 1 1 6 1 1 0 1 9 5 6 2 5 2 1 2 1 0 4 1 2 1 1 1 0 2 0 4 0 0 1 2 1 1 1 
6 2 1 2 1 4 4 1 1 2 1 1 2 7 7 4 2 2 2 5 8 5 3 2 0 3 3 2 0 0 0 0 0 2 3 0 2 3 4 2 1 6 0 1 0 1 5 3 4 2 3 3 1 1 0 0 2 1 2 0 1 1 0 1 1 2 0 0 0 1 1 2 1 
4 2 1 3 1 3 5 1 1 3 1 1 1 8 4 4 1 3 1 3 5 2 2 2 0 1 2 3 1 0 0 0 0 2 4 0 1 2 1 0 0 3 0 0 0 2 3 4 5 1 4 3 0 2 0 0 2 1 2 1 2 1 0 1 1 3 0 0 0 1 1 1 1 
1 0 1 1 0 1 1 0 0 1 0 0 1 3 2 1 0 0 0 1 3 2 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
1 1 2 3 1 3 5 0 0 1 0 1 1 5 6 2 1 1 1 2 4 4 1 2 0 1 2 1 0 0 0 0 0 1 2 0 1 1 2 1 0 2 0 0 0 0 2 2 2 1 2 2 0 1 0 0 1 1 2 1 0 0 0 0 1 2 0 0 0 1 0 1 0 
4 1 3 3 1 5 27 3 4 7 1 4 5 12 10 5 2 3 3 3 5 3 2 3 0 2 4 4 0 0 1 0 0 5 5 1 2 3 3 2 0 6 1 1 0 1 11 9 11 5 8 4 2 5 2 1 7 4 7 2 4 2 0 5 1 6 0 0 0 2 1 3 1 
0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 2 1 3 5 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 1 1 0 2 1 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0 
0 0 1 1 0 0 2 0 5 18 2 2 2 2 1 1 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 3 6 2 0 6 6 8 2 2 2 0 1 0 2 0 0 0 0 0 0 2 
0 0 1 0 0 0 1 0 1 3 1 1 1 2 1 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 2 0 0 2 0 4 2 2 2 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 1 7 3 0 2 0 2 4 5 2 0 0 1 0 1 3 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
5 2 3 4 2 5 8 1 1 4 1 4 5 15 11 4 1 3 2 6 7 4 2 1 0 2 2 2 0 0 0 0 0 2 2 0 1 1 1 0 0 3 0 0 0 2 4 4 4 2 4 3 1 1 0 0 3 1 2 0 1 2 0 2 0 3 0 0 1 0 0 1 1 
6 3 4 2 1 4 6 1 2 5 2 3 3 14 9 10 2 4 3 12 14 11 5 5 1 5 5 6 1 0 2 0 0 4 4 1 2 2 4 1 0 9 1 1 1 2 9 10 7 3 5 5 2 3 1 0 7 2 4 2 3 3 0 1 2 7 0 0 1 2 2 3 2 
4 2 5 4 2 5 6 1 1 5 2 4 2 9 14 5 3 4 3 7 10 6 4 3 1 2 6 7 1 0 2 1 0 6 6 2 3 4 3 2 1 8 1 2 2 2 10 7 8 4 7 5 1 2 1 0 5 2 5 2 1 2 0 2 3 6 0 1 1 2 2 3 3 
2 1 1 0 0 1 2 0 0 1 0 0 1 2 3 2 1 3 1 2 4 1 1 0 0 1 2 2 0 0 0 1 1 4 6 1 2 2 1 0 0 4 0 0 0 0 4 3 3 1 4 2 0 1 0 0 1 1 0 1 1 1 0 1 1 2 0 0 0 1 1 1 1 
5 2 4 2 0 1 3 0 0 2 0 1 2 4 7 8 4 5 2 6 5 3 1 2 0 2 4 5 2 0 0 1 0 3 7 1 1 2 2 1 0 3 0 0 0 0 5 5 4 1 3 2 0 2 0 0 2 1 3 1 1 0 0 1 1 2 0 0 0 1 1 1 0 
2 0 1 2 0 1 2 0 1 2 0 0 1 3 5 3 1 2 2 5 5 1 1 0 1 2 2 4 1 0 0 0 0 2 5 0 1 1 0 1 0 3 0 0 0 0 3 3 5 2 3 1 1 0 0 0 1 0 1 0 1 0 0 1 1 3 0 0 0 1 0 2 0 
