Flows:0-0
2 4 2 2 1 1 2 4 1 0 2 0 0 2 5 7 7 2 4 1 5 7 3 2 0 1 0 0 2 3 3 0 0 0 0 0 4 6 0 2 2 3 1 0 4 0 0 0 0 0 4 4 3 1 4 3 0 1 2 0 0 3 1 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 
4 1 1 1 0 1 1 3 1 0 3 0 1 1 5 6 4 1 2 1 4 6 3 0 0 1 0 0 1 3 2 0 0 0 0 0 2 3 1 2 3 4 2 1 5 0 0 0 0 1 7 6 7 3 5 4 0 1 2 0 0 2 1 2 1 1 1 0 1 1 5 0 0 1 1 2 0 1 
2 2 2 1 2 1 4 3 0 0 3 0 2 3 7 8 5 2 3 2 6 8 5 2 1 2 1 0 2 4 2 0 0 0 0 0 3 4 1 1 2 2 1 1 4 0 0 0 1 0 5 3 4 2 6 3 0 1 1 0 0 3 0 3 1 1 1 0 1 1 3 0 0 0 1 1 2 0 
1 1 2 3 1 0 4 7 1 1 2 1 1 1 7 4 6 1 3 2 3 5 3 1 0 2 0 0 2 2 3 0 0 0 0 0 1 3 0 1 2 2 1 0 4 0 0 0 0 0 5 3 4 1 4 1 0 0 1 0 0 3 2 1 1 0 1 0 1 2 3 1 0 0 1 1 1 1 
0 1 1 1 0 0 1 2 0 0 0 0 1 1 3 4 1 0 1 0 2 4 2 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 2 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
1 0 2 1 0 0 1 2 0 0 1 0 1 1 3 3 1 0 0 0 2 3 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 2 0 0 1 1 0 0 1 0 0 0 0 0 2 1 2 0 2 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 2 1 0 1 2 5 0 0 2 0 1 2 7 4 3 1 2 1 3 4 2 1 0 1 0 0 1 1 1 0 0 0 0 0 1 2 0 1 1 0 1 0 2 0 0 0 0 0 3 3 3 1 2 1 0 0 1 0 0 2 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 
3 1 3 5 1 2 6 26 3 4 7 2 4 7 15 10 5 2 3 3 4 9 4 2 0 4 1 0 1 4 3 1 0 1 0 1 4 6 1 2 3 3 1 1 7 1 1 0 0 1 8 7 10 4 7 5 1 2 6 1 1 8 4 8 3 3 3 0 4 2 6 0 0 0 3 1 2 2 
0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 4 0 4 6 1 1 1 1 1 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 
0 0 0 1 0 1 2 3 0 5 20 2 2 1 3 1 1 0 1 0 1 3 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 5 8 3 0 6 6 7 2 2 2 0 2 1 0 0 0 1 0 0 0 2 
0 0 1 0 0 0 0 1 0 3 2 1 0 0 2 1 0 0 0 0 1 1 1 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 2 0 0 2 0 4 2 2 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
1 0 1 1 0 0 1 4 4 0 2 0 3 5 5 3 1 0 1 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 1 4 5 1 2 5 12 3 1 4 1 4 5 15 10 4 1 3 2 5 9 5 1 0 4 0 0 2 3 2 0 0 0 0 0 2 2 0 0 1 3 1 0 3 0 0 0 0 0 4 3 3 2 3 2 0 1 2 0 0 3 2 4 1 1 1 0 1 0 3 0 0 1 1 0 0 0 
4 6 5 3 2 3 5 7 1 3 7 1 3 3 20 12 11 3 6 5 13 18 10 8 1 4 2 1 5 6 4 1 0 2 0 1 5 6 1 4 3 6 3 2 7 1 1 0 1 1 9 8 8 4 6 6 1 2 4 1 0 5 3 7 2 2 3 0 2 2 6 1 0 0 1 2 2 3 
5 3 7 4 1 3 5 6 1 2 5 1 3 4 9 16 7 3 6 4 10 14 5 3 1 4 1 0 3 6 6 1 0 1 1 1 7 7 1 3 5 5 4 1 9 1 2 0 1 1 11 8 10 4 9 6 1 1 3 0 0 6 3 5 6 2 2 0 3 3 7 1 0 1 3 2 2 2 
3 0 1 0 0 1 2 2 0 0 2 0 1 1 3 4 3 2 4 1 2 2 1 1 0 0 0 0 2 3 3 0 0 0 0 0 5 9 0 1 2 1 1 0 5 0 0 0 0 1 5 3 3 1 3 3 0 0 2 0 0 2 0 1 0 0 0 0 1 0 2 0 0 0 1 0 1 1 
3 1 2 4 0 1 3 4 0 1 2 0 2 2 9 8 7 5 5 2 6 6 2 1 0 0 0 1 2 4 4 2 0 1 1 0 5 7 1 1 3 2 2 0 4 1 0 0 0 0 7 6 6 1 4 2 0 0 2 1 0 2 2 3 0 1 1 0 1 1 3 0 0 0 2 1 1 0 
2 1 2 2 0 0 3 3 1 0 1 0 1 0 8 8 4 3 2 2 6 5 2 1 0 1 0 1 3 3 4 1 0 1 1 1 4 7 1 1 1 2 2 0 4 1 0 0 0 1 4 5 5 2 4 3 0 0 2 0 0 2 1 1 1 1 1 0 1 1 3 0 1 1 1 0 1 0 
4 3 3 3 1 2 3 6 1 1 5 2 3 3 12 16 9 2 4 2 11 13 8 6 2 4 2 1 7 5 6 0 0 2 0 1 3 4 1 2 3 4 1 1 5 1 1 0 1 1 7 7 7 3 7 6 2 2 3 1 0 4 3 5 2 3 3 0 2 2 5 1 0 1 1 1 2 3 
7 6 10 8 2 5 8 17 2 5 10 2 7 6 28 30 18 4 9 8 18 24 15 9 2 8 3 2 12 13 12 3 0 3 1 1 10 11 2 6 7 10 5 2 17 2 3 0 2 4 19 20 22 7 16 12 2 5 8 2 1 12 6 10 5 6 5 0 6 4 13 1 2 2 5 4 6 5 
2 3 3 3 1 1 3 5 1 2 4 5 3 4 10 14 8 1 3 2 9 15 11 6 3 8 2 1 4 4 4 0 0 1 0 0 2 3 0 2 3 3 2 1 4 0 1 0 0 1 4 4 4 2 5 4 2 2 2 0 0 3 2 3 1 1 1 0 2 1 3 0 1 1 2 1 2 1 
1 0 1 0 0 0 1 2 0 0 1 0 0 0 3 3 1 0 0 0 3 5 4 3 1 2 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
